PWM,Thrust [kgf]
1100,1.768181818
1110,1.640909091
1120,1.577272727
1130,1.527272727
1140,1.440909091
1150,1.4
1160,1.322727273
1170,1.259090909
1180,1.209090909
1190,1.163636364
1200,1.104545455
1210,1.040909091
1220,0.990909091
1230,0.927272727
1240,0.854545455
1250,0.790909091
1260,0.754545455
1270,0.704545455
1280,0.668181818
1290,0.622727273
1300,0.581818182
1310,0.531818182
1320,0.472727273
1330,0.427272727
1340,0.4
1350,0.368181818
1360,0.327272727
1370,0.272727273
1380,0.231818182
1390,0.2
1400,0.168181818
1410,0.140909091
1420,0.104545455
1430,0.072727273
1440,0.05
1450,0.031818182
1460,0.013636364
1470,0.009090909
1480,0.0
1500,0.0
1510,0.0
1520,0.0
1530,0.009090909
1540,0.036363636
1550,0.063636364
1560,0.104545455
1570,0.145454545
1580,0.195454545
1590,0.254545455
1600,0.309090909
1610,0.368181818
1620,0.431818182
1630,0.481818182
1640,0.545454545
1650,0.613636364
1660,0.686363636
1670,0.736363636
1680,0.804545455
1690,0.881818182
1700,0.963636364
1710,1.059090909
1720,1.131818182
1730,1.186363636
1740,1.254545455
1750,1.304545455
1760,1.386363636
1770,1.490909091
1780,1.577272727
1790,1.654545455
1800,1.727272727
1810,1.822727273
1820,1.959090909
1830,2.045454545
1840,2.1
1850,2.181818182
1860,2.263636364
1870,2.322727273
1880,2.418181818
1890,2.486363636
1900,2.518181818
