[Sat May 24 14:22:55 2025] Waiting for activation...
[Sat May 24 14:22:55 2025] Ativado!
[Sat May 24 14:22:55 2025] State machine creation...
[Sat May 24 14:22:55 2025] Connected to Pixhawk
[Sat May 24 14:22:58 2025] Finding systems...
[Sat May 24 14:22:58 2025] Object YoloCtrl created.
[Sat May 24 14:22:58 2025] Threads initialization...
[Sat May 24 14:22:58 2025] Threads initialized
[Sat May 24 14:22:58 2025] Listening messages...
[Sat May 24 14:22:58 2025] State Machine created
[Sat May 24 14:22:58 2025] Starting thrusters...
[Sat May 24 14:23:05 2025] Action: NONE, Power: 0
[Sat May 24 14:23:06 2025] Engines thrusters
[Sat May 24 14:23:06 2025] Checking transition...
[Sat May 24 14:23:06 2025] Transitioning from INIT to SEARCH
[Sat May 24 14:23:06 2025] Searching...
[Sat May 24 14:23:06 2025] Action: DOWN, Power: 10
[Sat May 24 14:23:08 2025] Action: NONE, Power: 0
[Sat May 24 14:23:08 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:09 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:09 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:09 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:10 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:10 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:10 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:11 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:11 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:11 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:12 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:12 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:12 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:13 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:13 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:13 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:14 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:14 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:15 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:15 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:15 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:16 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:16 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:16 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:17 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:17 2025] Action: TURNLEFT, Power: 36
[Sat May 24 14:23:17 2025] Action: TURNLEFT, Power: 36
